# 出典: 自ソルバーの計測値（ベンチマーク実行結果）。外部参照の最適値ではない。
# 用途: 退行検知（過去の自己ベストとの比較）。
# Source: measured by this solver's benchmark runs. NOT externally verified optimal values.
# Purpose: regression detection (comparison against own historical best).
problem_name,optimal_obj,source
QPLIB_10034,-6.600767e-2,bench_722g_ippmm_1000s
QPLIB_10038,-5.400120e-2,bench_722g_ippmm_1000s
QPLIB_8495,4.285751e4,bench_722g_ippmm_1000s
QPLIB_8505,-9.973992e3,bench_722g_ippmm_1000s
QPLIB_8515,-2.921625e-4,bench_722g_ippmm_1000s
QPLIB_8559,1.087048e8,bench_722g_ippmm_1000s
QPLIB_8567,1.157111e8,bench_722g_ippmm_1000s
QPLIB_8602,2.735339e4,bench_722g_ippmm_1000s
QPLIB_8616,2.450685e2,bench_722g_ippmm_1000s
QPLIB_8785,7.867491e3,bench_722g_ippmm_1000s
QPLIB_8790,-4.299946e-1,bench_722g_ippmm_1000s
QPLIB_8792,1.900968e0,piqp_clarabel_osqp_crosscheck_cmd843_20260424
QPLIB_8845,1.345312e7,bench_722g_ippmm_1000s
QPLIB_8906,3.014980e6,bench_722g_ippmm_1000s
QPLIB_8938,-3.577945e1,bench_722g_ippmm_1000s
QPLIB_8991,-1.200696e0,bench_722g_ippmm_1000s
# QPLIB_9002: QPLIB official solu = "=unkn=" (no published optimum). Clarabel
# (tol=1e-8) terminates NumericalError at obj=3.69e13. 自 solver は
# SuboptimalSolution / obj ~2e10 で residual_stall。past 5.698e9 (bench_722g) は
# 単発で再現不能。ref 削除 (task #31). regression sentinel = diag_qplib_9002_obj.
QPLIB_9002,no_ref,task31_intractable_diag_q_2026-05-18
# Synthetic nonconvex entries removed to qplib_nonconvex_synthetic.csv (data/qplib_nonconvex/).
